"#","Tag","Patterns","Responses","Context","Context Set","Delete"
"32","how are you","['asdada,asdada']","['asdada,sdadada']","","[]",""
"21","tuition","['I would like to know the tuition fee', 'may I know how much is the tuition fee?', 'tuition', 'how much is the tuition fee?', 'school fee', 'amount of tuition']","['Choose Course/Department: ']","['tuition']","['tuition_medicine', 'tuition_arts_sciences', 'tuition_ccss', 'tuition_accountancy', 'tuition_engineering', 'tuition_education', 'tuition_junior_high', 'tuition_elementary', 'tuition_senior_high', 'tuition_masters']",""
"20","Option_4","['option 4', 'option4', 'how to pay with metrobank', 'bpi', 'bdo']","[""1. Log-in to your online banking account.\n\n2. Select the FUND TRANSFER TO OTHER LOCAL BANKS transaction.\n\n3. Select Philippine National Bank.\n\n4. Input the following bank details:\nAccount Name: UNIVERSITY OF THE EAST\nAccount No.: 1653-1005-9956\n\n5. Input the amount you have to pay.\n\n Payor's Name: Student's Name\n\n4. Proceed to the bank teller to process your bills payment. You will be given a copy (Yellow/Blue).\n\n5. Confirm the details of your transaction and enter the One-Time PIN (OTP) that will be sent to your registered mobile number.\n\n6. Take a screenshot of the successful payment transaction.\n\n7. Inform the Finance Department of your payment thru e-mail.\n\nTo: finance@ue.edu.ph\nSubject: Payment for Tuition Fee \nE-mail:\n-Student Name\n-Student Number\n-Contact Number\n-Amount Paid\n-Date Paid\n\nAttach a copy of your proof of payment.""]","","[]",""
"19","Option_3","['landbank', 'ucpb', 'chinabank', 'eastwest', 'psbank', 'rcbc', 'union bank', 'security bank', 'option3', 'option 3']","[""1. Log-in to your online banking account.\n\n2. Select PAY BILLS or BILLS PAYMENT transaction.\n\n3. Select UE or UNIVERSITY OF THE EAST as the Biller.\n\n4. Input your 11-digit Student Number as the Account Number.\n\n5. Input the amount you have to pay.\n\n Payor's Name: Student's Name\n\n4. Proceed to the bank teller to process your bills payment. You will be given a copy (Yellow/Blue).\n\n5. Inform the Finance Department of your payment thru e-mail.\n\n6. Click NEXT or PROCEED to confirm transaction.\n\n7. Take a screenshot of the successful payment transaction.\n\n8. Inform the Finance Department of your payment thru e-mail.\n\nTo: finance@ue.edu.ph\nSubject: Payment for Tuition Fee \nE-mail:\n-Student Name\n-Student Number\n-Contact Number\n-Amount Paid\n-Date Paid\n\nAttach a copy of your proof of payment.""]","","[]",""
"18","Option_2","['may i know how to pay with gcash?', 'how to pay with gcash', 'option2', 'option 2']","[""1. Log-in to your online banking account.\n\n2. Select PAY BILLS or BILLS PAYMENT transaction.\n\n3. Select UE or UNIVERSITY OF THE EAST as the Biller.\n\n4. Input your 11-digit Student Number as the Account Number.\n\n5. Input the amount you have to pay.\n\n Payor's Name: Student's Name\n\n4. Proceed to the bank teller to process your bills payment. You will be given a copy (Yellow/Blue).\n\n5. Inform the Finance Department of your payment thru e-mail.\n\n6. Click NEXT or PROCEED to confirm transaction.\n\n7. Take a screenshot of the successful payment transaction.\n\n8. Inform the Finance Department of your payment thru e-mail.\n\nTo: finance@ue.edu.ph\nSubject: Payment for Tuition Fee \nE-mail:\n-Student Name\n-Student Number\n-Contact Number\n-Amount Paid\n-Date Paid\n\nAttach a copy of your proof of payment.""]","","[]",""
"17","Option_1","['may i know how to pay with pnb?', 'how to pay with pnb', 'option1', 'option 1']","[""1. Proceed to any PNB branch near you.\n\n2. Ask for a Bills Payment Slip.\n\n3. Write the following details:\n\nCompany Name: UNIVERSITY OF THE EAST\nReference No: Please indicate your student number.\nPayor's Name: Student's Name\n\n4. Proceed to the bank teller to process your bills payment. You will be given a copy (Yellow/Blue).\n\n5. Inform the Finance Department of your payment thru e-mail.\n\nTo: finance@ue.edu.ph\nSubject: Payment for Tuition Fee\nE-mail:\n\n -Student Name\n -Student Number\n -Contact Number\n -Amount Paid\n -Date Paid\n\nAttach a copy of your proof of payment.""]","","[]",""
"16","payment_method","['May I know the available payment options?', 'I would like to know the available payment options', 'what are the available payment method', 'payment options', 'how to pay tuition fee', 'where can i pay']","['There are several payment options.\n\nOption 1 (PNB)\n\nOption 2 (GCASH),\n\nOption 3 (Bills payment through Mobile Baking Application(PNB, Landbank, UCPB, EastWest, RCBC, PSBank, Chinabank, Security Bank, Union Bank, etc))\n\nOption 4 (Payment through Mobile Banking Application (Metrobank, BPI, and BDO))\n\nType the option do you preferred.']","['payment_method']","['Option_1', 'Option_2', 'Option_3', 'Option_4']",""
"15","ue_portal","['how can I see my grades?', 'how to check my balance?', 'how to know my email account?', 'student email', 'how to check my class schedule?', 'where can I see the results of my physical medical examination?', 'pme', 'where can I download ojt forms?', 'forms', 'sao forms', 'forms for dropping a subject', 'forms for change of subjects', 'forms for removal of LFR marks', 'lfr', 'how to see student manual', 'good moral', 'new id', 'evaluate faculty', 'evaluation']","['Visit and login to your UE Portal Account to:\n\nâ€£ check your grades\nâ€£ check your balance\nâ€£ check your class schedule\nâ€£ check the results of your Physical Medical Examination (PME)\nâ€£ see the downloadable forms (OJT, LFR, New ID, Good Moral etc)\nâ€£ evaluate faculty\nâ€£ library Resources\nâ€£ check your canvas account\nâ€£ check the student manual\nâ€£ evaluate the student services\n\n\nUE PORTAL WEBPAGE\nhttps://www.ue.edu.ph/portals/sp/login.php']","","[]",""
"14","admissionAndRegistrationSched","['I would like to know when is the Admission Schedule?', 'I would like to know when is the Registration Schedule?', 'when can I register?']","['â€¢Admission Schedule\n\n\nCollege Freshmen: June 01-August 09,2021(First Sem.2021-2022)  January 03 â€“ 17, 2022 (Second Sem. 2021-2022)\n\nNew Students: GS, CLAW, & Graduate Dentistry: July 01 â€“ August 09, 2021(First Sem.2021-2022)  January 03 â€“ 17, 2022 (Second Sem. 2021-2022)\n\nTransferees & Degree Holders: July 01 â€“ August 09, 2021(First Sem.2021-2022)  January 03 â€“ 17, 2022 (Second Sem. 2021-2022)\n\nCross-Registrants: July 15 â€“ August 09, 2021(First Sem.2021-2022)  January 03 â€“ 17, 2022 (Second Sem. 2021-2022)\n\n\nâ€¢Registration Schedule\n\n\nCollege Freshmen: June 01-August 09 (First Sem. 2021-2022)  January 03 â€“ 17, 2022(Second Sem. 2021-2022)\n\nNew Students: GS, CLAW, & Graduate Dentistry: July 01 â€“ August 09, 2021(First Sem. 2021-2022)  January 03 â€“ 17, 2022(Second Sem. 2021-2022)\n\nAll Curricular Years: July 27 â€“ August 09, 2021 (First Sem. 2021-2022)  January 07 â€“ 17, 2022(Second Sem. 2021-2022)\n\nTransferees & Degree Holders: July 28 â€“ August 09, 2021 (First Sem. 2021-2022)  January 10 â€“ 17, 2022(Second Sem. 2021-2022)\n\nCross-Registrants: July 28 â€“ August 09, 2021 (First Sem. 2021-2022)  January 10 â€“ 17, 2022(Second Sem. 2021-2022)']","","['']",""
"13","scheduleOfExamination","['I would like to know when is the prelim examination?', 'when is the midterm examination?', 'prelims', 'midterms', 'finals', 'examination']","['â€¢For CAS, CBA, CCSS, CDENT, CEDUC, CENGâ€™G, CFAD, the Preliminary Examinations, Midterm Examinations and Final Examinations of First Sem. 2021-2022 will be held on September 21-25, November 04-09 and December 15-18 respectively.\n\nâ€¢For CAS, CBA, CCSS, CDENT, CEDUC, CENGâ€™G, CFAD, the Preliminary Examinations, Midterm Examinations and Final Examinations of Second Sem. 2021-2022 will be held on February 22-28, April 02-07 and May 25-28 respectively\n\nFor Graduate School, CLAW & Graduate Denstisry,the Midterm Examinations of the First Sem 2021-2022 will be held on October 12-16 and March 17-22 for the Second Sem 2021-2022.\n\n\n\nFor more information about the School Calendar, visit this link\nhttps://www.ue.edu.ph/mla/school-calendar-events-activities/']","","[]",""
"12","scheduleOfClasses","['I would like to know when is the first day of class?', 'when is the first day of class?', 'kailan bakasyon?', 'first day of class', 'when is the last day of class', 'last day of class', 'holiday breaks', 'bakasyon', 'break', 'sembreak', 'semestral break', 'vacation']","[""â€¢For 1st sem of the school year 2021-2022, the first day of class will be on August 09, 2021 (M) and the Final Examinations will be held on December 15-18, 2021\n\n â€¢As for the 2nd sem, the first day of class will be on January 17, 2022 (M) and the Final Examination will be held on May 25-28, 2022\n\n\n â€¢The following are the list of Holiday Breaks for the School Year 2021-2022: \n\n â€£Observance of All Saints'/Souls' Day: October 31-November 02, 2021\n\n â€£Observance of Holy Week: April 13-April 17, 2021\n\n\n\nFor more information about the School Calendar, visit this link\nhttps://www.ue.edu.ph/mla/school-calendar-events-activities/""]","","[]",""
"11","email","['what is the ue email', 'email address', 'I would like to know the email address of the school']","[""â€¢Admission Office's Email Address (inquiries for college-freshmen and Grade 11 admission, registration, enrollment and entrance test matters): admission@ue.edu.ph\n\nâ€¢IT Department's Email Address (concerns, such as Student Portal, Canvas and email access): itd@ue.edu.ph\n\n\nTo see the email directory please visit this link:\nhttps://www.ue.edu.ph/mla/email-directory/""]","","[]",""
"10","hotline","['ue hotline', 'number of ue', 'admission number', 'contact number', 'I would like to know the contact number the school']","[""â€¢Trunk Line: (632) 8735-54-71\nâ€¢Admission Office: (399) 8735-8577\n\nTo see the colleges, departments and executive office's hotlines, please refer to the official website's telephone directory link:\nhttps://www.ue.edu.ph/mla/telephone-directory/ ""]","","[]",""
"9","enroll_howto","['how to enroll online?', 'where can I enroll?', 'how to apply', 'what are the requirements', 'procedures of enrollment', 'Application', 'I would like to know how I can enroll?']","['If you are new to UE, please refer to these links to see how to apply, the requirements and procedures.\n\nâ€¢APPLYING ONLINE\nhttps://www.ue.edu.ph/onlineadmission/main.html\n\nâ€¢ADMISSION REQUIREMENTS\nhttps://www.ue.edu.ph/mla/admission-requirements/\n\nâ€¢PROCEDURE OF ENROLLMENT\nhttps://www.ue.edu.ph/mla/procedure-for-enrollment/\n\n ']","","[]",""
"8","News & Updates","['news and updates', 'news & updates', 'trending', 'latest news']","[""For latest news and updates, please click the 'FAQ's' button on the right side of 'SEND' button.""]","","[]",""
"7","Developer","['developers', 'who are the devs', 'creators of uenquire']","['UEnquire is an application developed as a research study for 4th year course BS computer Science by the Researchers: Eugene M. Reyes, Jecko Sayo, Kristoffer B. Salonga, Cariel D. Payumo, Peter Lemuel Zamora']","","[]",""
"6","Goal","['uenquire', 'purpose', 'goal', 'objectives', 'uenquire purpose', 'uenquire goal', 'uenquire mission', 'uenquire vision', 'uenquire objectives']","['To accommodate University of the East inquiries and provide analysis based on UE data.']","","[]",""
"5","information","['What do you offer?', 'what help you provide?', 'how could you help me?', 'what can you do?', 'can I ask you a question?']","[""Hello! What's your concern? You can inquire to me about anything related to the University of the East. You can also click Frequenly Asked Questions (FAQ's) button to check the most asked questions recently and the news and updates of the University!""]","","[]",""
"3","gratitude","['Thanks', ""That's helpful"", 'Thank you', 'Awesome, thanks', 'Thanks for helping me', 'maraming salamat', 'ty']","['Happy to help!', 'Any time!', 'My pleasure', 'Walang Anuman!', ""You're welcome!""]","","[]",""
"2","goodbye","['bye', 'cya', 'see you later', 'goodbye', 'i am leaving', 'have a good day']","['Sad to see you go :(', 'Talk to you later', 'Goodbye!', ""It's a pleasure to have you here!""]","","[]",""
"1","greeting","['hey', 'hi', 'how are you', 'is anyone there?', 'hello', 'good day', 'whats up', 'good morning', 'good afternoon', 'good evening']","['Hello!', 'Good to see you again!', 'Hi there, how can I help?', 'What are you up to?']","","[]",""
